pba_code,pba_label,cendiv,cendiv_label,pubclim,pubclim_label,sqft,floor_count,year_built_category,operating_hours,occupancy_pct,site_eui,weight
2,Office,5,South Atlantic,3,Mixed mild,210000,12,2,70,100.0,141.5579,2.17
2,Office,9,Pacific,4,Warm,28000,5,6,45,100.0,61.8091,312.77
8,Outpatient health care,5,South Atlantic,4,Warm,2100,1,6,48,100.0,24.9462,1218.03
5,Nonrefrigerated warehouse,7,West South Central,5,Hot or very hot,240000,1,9,55,,13.2741,69.6
5,Nonrefrigerated warehouse,2,Middle Atlantic,3,Mixed mild,295000,1,4,80,,15.8543,199.58
14,Education,5,South Atlantic,3,Mixed mild,94000,2,7,60,,41.8672,99.04
14,Education,8,Mountain,5,Hot or very hot,41000,2,8,50,,48.8135,324.59
5,Nonrefrigerated warehouse,3,East North Central,2,Cool,122000,2,4,168,,31.8957,15.06
25,Retail other than mall,8,Mountain,2,Cool,96000,1,8,95,,31.0623,245.01
14,Education,2,Middle Atlantic,2,Cool,220000,3,3,80,,110.3707,44.64
25,Retail other than mall,2,Middle Atlantic,3,Mixed mild,7500,1,5,64,,129.3677,14.9
7,Public order and safety,9,Pacific,7,Withheld for confidentiality,350000,5,5,54,,75.7828,17.76
2,Office,8,Mountain,3,Mixed mild,30500,3,7,50,43.0,71.7387,621.37
14,Education,7,West South Central,4,Warm,8000,1,8,35,,25.0174,4468.96
5,Nonrefrigerated warehouse,3,East North Central,2,Cool,3000,2,6,45,,64.8957,3075.23
25,Retail other than mall,8,Mountain,5,Hot or very hot,8500,1,8,98,,64.6259,2934.43
14,Education,5,South Atlantic,4,Warm,51000,1,3,60,,38.1352,431.11
5,Nonrefrigerated warehouse,9,Pacific,7,Withheld for confidentiality,2100000,4,9,154,,8.5791,70.08
2,Office,6,East South Central,4,Warm,184000,3,2,38,92.0,89.3427,7.59
2,Office,2,Middle Atlantic,7,Withheld for confidentiality,1500000,18,2,168,100.0,114.0877,58.26
2,Office,3,East North Central,3,Mixed mild,240000,4,8,80,85.0,71.5657,15.06
2,Office,9,Pacific,4,Warm,210000,12,2,168,91.0,52.1353,15.06
2,Office,1,New England,1,Cold or very cold,22000,3,6,168,75.0,76.9686,1195.68
5,Nonrefrigerated warehouse,9,Pacific,3,Mixed mild,116000,1,8,86,,49.7965,15.06
2,Office,5,South Atlantic,3,Mixed mild,230000,18,8,50,92.0,41.6831,14.9
2,Office,2,Middle Atlantic,3,Mixed mild,182000,12,6,56,90.0,58.2564,14.9
2,Office,3,East North Central,2,Cool,420000,12,6,56,96.0,40.5143,15.06
2,Office,5,South Atlantic,4,Warm,3250,1,9,40,100.0,32.0477,1218.03
8,Outpatient health care,6,East South Central,4,Warm,1000000,3,4,168,98.0,107.0819,7.59
2,Office,9,Pacific,4,Warm,190000,5,8,60,80.0,47.6158,59.79
25,Retail other than mall,6,East South Central,4,Warm,158000,1,8,168,,107.7573,161.63
12,Religious worship,5,South Atlantic,5,Hot or very hot,62000,2,4,50,,57.6071,14.9
26,Service,1,New England,2,Cool,9000,1,2,70,,140.2103,3356.48
26,Service,5,South Atlantic,3,Mixed mild,5400,1,7,45,,56.308,1214.38
25,Retail other than mall,5,South Atlantic,3,Mixed mild,4500,1,5,75,,108.4116,2990.63
23,Strip shopping center,8,Mountain,5,Hot or very hot,26500,2,8,55,13.0,48.422,2009.74
14,Education,7,West South Central,3,Mixed mild,50000,1,3,45,,33.0072,330.8
17,Nursing,2,Middle Atlantic,3,Mixed mild,100001,3,7,168,,227.7558,9.01
5,Nonrefrigerated warehouse,7,West South Central,5,Hot or very hot,15000,1,6,168,,39.6066,3420.76
13,Public assembly,4,West North Central,2,Cool,20750,2,3,35,,12.4481,502.9
8,Outpatient health care,8,Mountain,3,Mixed mild,220000,4,8,168,100.0,160.4938,8.76
2,Office,1,New England,2,Cool,360000,12,2,40,80.0,70.5532,8.74
14,Education,2,Middle Atlantic,3,Mixed mild,500001,4,2,80,,82.6673,8.84
12,Religious worship,5,South Atlantic,4,Warm,11250,2,8,35,,41.2124,2990.63
5,Nonrefrigerated warehouse,9,Pacific,4,Warm,62000,2,7,50,,21.7996,215.07
2,Office,3,East North Central,2,Cool,260000,7,5,168,100.0,72.6327,51.34
2,Office,7,West South Central,5,Hot or very hot,80000,1,7,168,100.0,65.2223,245.01
2,Office,4,West North Central,3,Mixed mild,124000,12,2,120,100.0,106.4258,137.69
5,Nonrefrigerated warehouse,8,Mountain,2,Cool,260000,1,8,168,,36.5823,31.35
14,Education,7,West South Central,3,Mixed mild,220000,2,8,50,,49.2839,46.68
12,Religious worship,3,East North Central,2,Cool,50000,1,6,85,,37.309,611.8
16,Inpatient health care,9,Pacific,7,Withheld for confidentiality,230000,6,8,168,,70.3974,9.01
26,Service,7,West South Central,4,Warm,25000,1,4,56,,16.6161,589.53
6,Food sales,3,East North Central,2,Cool,110000,1,6,168,,213.8718,24.95
25,Retail other than mall,8,Mountain,5,Hot or very hot,41000,1,6,60,,21.5471,621.34
25,Retail other than mall,5,South Atlantic,4,Warm,200001,1,7,168,,99.1439,84.24
25,Retail other than mall,5,South Atlantic,4,Warm,210000,1,8,168,,95.0599,14.9
5,Nonrefrigerated warehouse,2,Middle Atlantic,2,Cool,63000,1,3,50,,41.0779,552.0
15,Food service,3,East North Central,3,Mixed mild,8400,2,2,120,,118.3729,1195.14
23,Strip shopping center,7,West South Central,5,Hot or very hot,25000,3,7,75,100.0,142.917,10.71
2,Office,3,East North Central,7,Withheld for confidentiality,1800000,18,8,68,99.0,27.2901,15.06
26,Service,6,East South Central,4,Warm,12000,1,4,40,,19.3542,1489.41
5,Nonrefrigerated warehouse,7,West South Central,4,Warm,15250,1,5,48,,13.6981,2990.63
8,Outpatient health care,2,Middle Atlantic,2,Cool,31000,2,8,50,100.0,43.4448,1218.03
5,Nonrefrigerated warehouse,5,South Atlantic,3,Mixed mild,31000,3,7,40,,30.3201,1632.49
2,Office,7,West South Central,4,Warm,12250,1,7,40,100.0,52.8168,1413.09
2,Office,7,West South Central,5,Hot or very hot,200001,8,8,65,72.0,58.5709,14.9
15,Food service,7,West South Central,3,Mixed mild,8000,1,8,98,,177.0041,1218.03
26,Service,7,West South Central,3,Mixed mild,3300,1,7,30,,25.9839,2990.63
13,Public assembly,2,Middle Atlantic,3,Mixed mild,100000,3,5,100,,36.9326,220.83
23,Strip shopping center,7,West South Central,4,Warm,21000,1,3,48,100.0,67.1881,2822.81
14,Education,2,Middle Atlantic,7,Withheld for confidentiality,335000,9,2,112,,81.2141,5.89
2,Office,3,East North Central,2,Cool,8800,3,2,36,100.0,57.5212,3075.23
13,Public assembly,3,East North Central,2,Cool,24000,1,4,25,,75.2801,1531.55
14,Education,8,Mountain,2,Cool,1001,1,8,45,,19.5295,4468.96
5,Nonrefrigerated warehouse,9,Pacific,4,Warm,118000,2,5,60,,10.0778,70.08
8,Outpatient health care,3,East North Central,1,Cold or very cold,42500,3,9,36,100.0,86.1373,717.24
17,Nursing,7,West South Central,4,Warm,64000,2,8,168,,67.4224,8.7
2,Office,9,Pacific,3,Mixed mild,300000,3,4,60,100.0,58.4587,70.08
14,Education,2,Middle Atlantic,3,Mixed mild,285000,2,4,80,,92.2204,44.64
2,Office,2,Middle Atlantic,3,Mixed mild,43000,4,2,40,100.0,87.7156,7.84
18,Lodging,9,Pacific,4,Warm,85000,4,7,168,,37.7552,100.08
14,Education,2,Middle Atlantic,3,Mixed mild,320000,6,2,78,,89.3855,50.66
14,Education,9,Pacific,7,Withheld for confidentiality,45000,3,4,75,,48.3219,495.15
17,Nursing,3,East North Central,2,Cool,176000,4,3,168,,162.9219,15.06
14,Education,9,Pacific,4,Warm,65000,1,3,40,,33.0004,100.08
